Timestamp,Entity,Variable,Day,Time,Value
21/01/2019 06:54:49,A,TemperaturaMotore,21/01/2019,06:54:49,73.3
21/01/2019 06:55:49,A,TemperaturaMotore,21/01/2019,06:55:49,75.2
21/01/2019 06:56:49,A,TemperaturaMotore,21/01/2019,06:56:49,77.1
21/01/2019 06:57:49,A,TemperaturaMotore,21/01/2019,06:57:49,78.9
21/01/2019 06:58:49,A,TemperaturaMotore,21/01/2019,06:58:49,80.5
21/01/2019 06:59:48,A,TemperaturaMotore,21/01/2019,06:59:48,83.4
21/01/2019 07:00:48,A,TemperaturaMotore,21/01/2019,07:00:48,87.3
21/01/2019 07:01:48,A,TemperaturaMotore,21/01/2019,07:01:48,91.1
21/01/2019 07:02:48,A,TemperaturaMotore,21/01/2019,07:02:48,94.5
21/01/2019 07:03:49,A,TemperaturaMotore,21/01/2019,07:03:49,97.7
21/01/2019 07:04:48,A,TemperaturaMotore,21/01/2019,07:04:48,100.7
21/01/2019 07:05:48,A,TemperaturaMotore,21/01/2019,07:05:48,103.6
21/01/2019 07:06:48,A,TemperaturaMotore,21/01/2019,07:06:48,106.5
21/01/2019 07:07:48,A,TemperaturaMotore,21/01/2019,07:07:48,109.1
21/01/2019 07:08:48,A,TemperaturaMotore,21/01/2019,07:08:48,111.7
21/01/2019 07:09:48,A,TemperaturaMotore,21/01/2019,07:09:48,114.1
21/01/2019 07:10:48,A,TemperaturaMotore,21/01/2019,07:10:48,116.4
21/01/2019 07:11:48,A,TemperaturaMotore,21/01/2019,07:11:48,118.7
21/01/2019 07:12:48,A,TemperaturaMotore,21/01/2019,07:12:48,120.9
21/01/2019 07:13:48,A,TemperaturaMotore,21/01/2019,07:13:48,123
21/01/2019 07:14:48,A,TemperaturaMotore,21/01/2019,07:14:48,125
21/01/2019 07:15:48,A,TemperaturaMotore,21/01/2019,07:15:48,127
21/01/2019 07:16:48,A,TemperaturaMotore,21/01/2019,07:16:48,128.9
21/01/2019 07:17:48,A,TemperaturaMotore,21/01/2019,07:17:48,130.8
21/01/2019 07:18:48,A,TemperaturaMotore,21/01/2019,07:18:48,132.6
21/01/2019 07:19:48,A,TemperaturaMotore,21/01/2019,07:19:48,134.4
21/01/2019 07:20:48,A,TemperaturaMotore,21/01/2019,07:20:48,136.1
21/01/2019 07:21:48,A,TemperaturaMotore,21/01/2019,07:21:48,137.7
21/01/2019 07:22:48,A,TemperaturaMotore,21/01/2019,07:22:48,139.3
21/01/2019 07:23:48,A,TemperaturaMotore,21/01/2019,07:23:48,140.8
21/01/2019 07:24:48,A,TemperaturaMotore,21/01/2019,07:24:48,142.3
21/01/2019 07:25:48,A,TemperaturaMotore,21/01/2019,07:25:48,143.7
21/01/2019 07:26:48,A,TemperaturaMotore,21/01/2019,07:26:48,145.1
21/01/2019 07:27:48,A,TemperaturaMotore,21/01/2019,07:27:48,146.4
21/01/2019 07:28:48,A,TemperaturaMotore,21/01/2019,07:28:48,147.8
21/01/2019 07:29:48,A,TemperaturaMotore,21/01/2019,07:29:48,149.1
21/01/2019 07:30:48,A,TemperaturaMotore,21/01/2019,07:30:48,150.4
21/01/2019 07:31:48,A,TemperaturaMotore,21/01/2019,07:31:48,151.6
21/01/2019 07:32:48,A,TemperaturaMotore,21/01/2019,07:32:48,152.9
21/01/2019 07:33:48,A,TemperaturaMotore,21/01/2019,07:33:48,154.1
21/01/2019 07:34:48,A,TemperaturaMotore,21/01/2019,07:34:48,155.3
21/01/2019 07:35:48,A,TemperaturaMotore,21/01/2019,07:35:48,156.5
21/01/2019 07:36:48,A,TemperaturaMotore,21/01/2019,07:36:48,157.6
21/01/2019 07:37:48,A,TemperaturaMotore,21/01/2019,07:37:48,158.7
21/01/2019 07:38:48,A,TemperaturaMotore,21/01/2019,07:38:48,159.7
21/01/2019 07:39:48,A,TemperaturaMotore,21/01/2019,07:39:48,160.5
21/01/2019 07:40:48,A,TemperaturaMotore,21/01/2019,07:40:48,159.2
21/01/2019 07:41:48,A,TemperaturaMotore,21/01/2019,07:41:48,156.2
21/01/2019 07:42:48,A,TemperaturaMotore,21/01/2019,07:42:48,153.9
21/01/2019 07:43:48,A,TemperaturaMotore,21/01/2019,07:43:48,154.8
21/01/2019 07:44:48,A,TemperaturaMotore,21/01/2019,07:44:48,156.7
21/01/2019 07:45:49,A,TemperaturaMotore,21/01/2019,07:45:49,158.6
21/01/2019 07:46:49,A,TemperaturaMotore,21/01/2019,07:46:49,160.2
21/01/2019 07:47:49,A,TemperaturaMotore,21/01/2019,07:47:49,161.5
21/01/2019 07:48:49,A,TemperaturaMotore,21/01/2019,07:48:49,160.8
21/01/2019 07:49:49,A,TemperaturaMotore,21/01/2019,07:49:49,157.8
21/01/2019 07:50:49,A,TemperaturaMotore,21/01/2019,07:50:49,155.1
21/01/2019 07:51:49,A,TemperaturaMotore,21/01/2019,07:51:49,154.5
21/01/2019 07:52:49,A,TemperaturaMotore,21/01/2019,07:52:49,156.4
21/01/2019 07:53:49,A,TemperaturaMotore,21/01/2019,07:53:49,158.5
21/01/2019 07:54:49,A,TemperaturaMotore,21/01/2019,07:54:49,160.2
21/01/2019 07:55:49,A,TemperaturaMotore,21/01/2019,07:55:49,161.7
21/01/2019 07:56:49,A,TemperaturaMotore,21/01/2019,07:56:49,161.5
21/01/2019 07:57:49,A,TemperaturaMotore,21/01/2019,07:57:49,158.8
21/01/2019 07:58:49,A,TemperaturaMotore,21/01/2019,07:58:49,156
21/01/2019 07:59:49,A,TemperaturaMotore,21/01/2019,07:59:49,154.6
21/01/2019 08:00:49,A,TemperaturaMotore,21/01/2019,08:00:49,156.2
21/01/2019 08:01:49,A,TemperaturaMotore,21/01/2019,08:01:49,158.5
21/01/2019 08:02:49,A,TemperaturaMotore,21/01/2019,08:02:49,160.4
21/01/2019 08:03:49,A,TemperaturaMotore,21/01/2019,08:03:49,162.1
21/01/2019 08:04:49,A,TemperaturaMotore,21/01/2019,08:04:49,161.6
21/01/2019 08:05:49,A,TemperaturaMotore,21/01/2019,08:05:49,158.8
21/01/2019 08:06:49,A,TemperaturaMotore,21/01/2019,08:06:49,156.2
21/01/2019 08:07:49,A,TemperaturaMotore,21/01/2019,08:07:49,154.7
21/01/2019 08:08:49,A,TemperaturaMotore,21/01/2019,08:08:49,156.2
21/01/2019 08:09:49,A,TemperaturaMotore,21/01/2019,08:09:49,158.6
21/01/2019 08:10:49,A,TemperaturaMotore,21/01/2019,08:10:49,160.6
21/01/2019 08:11:49,A,TemperaturaMotore,21/01/2019,08:11:49,162.4
21/01/2019 08:12:49,A,TemperaturaMotore,21/01/2019,08:12:49,161.5
21/01/2019 08:13:49,A,TemperaturaMotore,21/01/2019,08:13:49,158.7
21/01/2019 08:14:49,A,TemperaturaMotore,21/01/2019,08:14:49,156.4
21/01/2019 08:15:49,A,TemperaturaMotore,21/01/2019,08:15:49,155.1
21/01/2019 08:16:48,A,TemperaturaMotore,21/01/2019,08:16:48,156.6
21/01/2019 08:17:48,A,TemperaturaMotore,21/01/2019,08:17:48,158.9
21/01/2019 08:18:48,A,TemperaturaMotore,21/01/2019,08:18:48,160.9
21/01/2019 08:19:48,A,TemperaturaMotore,21/01/2019,08:19:48,162.5
21/01/2019 08:20:48,A,TemperaturaMotore,21/01/2019,08:20:48,161.3
21/01/2019 08:21:48,A,TemperaturaMotore,21/01/2019,08:21:48,158.6
21/01/2019 08:22:48,A,TemperaturaMotore,21/01/2019,08:22:48,156.1
21/01/2019 08:23:48,A,TemperaturaMotore,21/01/2019,08:23:48,155.1
21/01/2019 08:24:48,A,TemperaturaMotore,21/01/2019,08:24:48,156.9
21/01/2019 08:25:48,A,TemperaturaMotore,21/01/2019,08:25:48,159.3
21/01/2019 08:26:49,A,TemperaturaMotore,21/01/2019,08:26:49,161.2
21/01/2019 08:27:48,A,TemperaturaMotore,21/01/2019,08:27:48,162.7
21/01/2019 08:28:48,A,TemperaturaMotore,21/01/2019,08:28:48,161
21/01/2019 08:29:49,A,TemperaturaMotore,21/01/2019,08:29:49,158.4
21/01/2019 08:30:49,A,TemperaturaMotore,21/01/2019,08:30:49,156
21/01/2019 08:31:49,A,TemperaturaMotore,21/01/2019,08:31:49,155.5
21/01/2019 08:32:49,A,TemperaturaMotore,21/01/2019,08:32:49,157.4
21/01/2019 08:33:49,A,TemperaturaMotore,21/01/2019,08:33:49,159.8
21/01/2019 08:34:49,A,TemperaturaMotore,21/01/2019,08:34:49,162.5
21/01/2019 08:35:49,A,TemperaturaMotore,21/01/2019,08:35:49,163.8
21/01/2019 08:36:49,A,TemperaturaMotore,21/01/2019,08:36:49,162
21/01/2019 08:37:49,A,TemperaturaMotore,21/01/2019,08:37:49,160
21/01/2019 08:38:49,A,TemperaturaMotore,21/01/2019,08:38:49,158.7
21/01/2019 08:39:49,A,TemperaturaMotore,21/01/2019,08:39:49,157.5
21/01/2019 08:40:49,A,TemperaturaMotore,21/01/2019,08:40:49,156.8
21/01/2019 08:41:49,A,TemperaturaMotore,21/01/2019,08:41:49,158
21/01/2019 08:42:49,A,TemperaturaMotore,21/01/2019,08:42:49,160.8
21/01/2019 08:43:49,A,TemperaturaMotore,21/01/2019,08:43:49,161.7
21/01/2019 08:44:49,A,TemperaturaMotore,21/01/2019,08:44:49,160.6
21/01/2019 08:45:49,A,TemperaturaMotore,21/01/2019,08:45:49,159.5
21/01/2019 08:46:49,A,TemperaturaMotore,21/01/2019,08:46:49,158.8
21/01/2019 08:47:49,A,TemperaturaMotore,21/01/2019,08:47:49,158
21/01/2019 08:48:49,A,TemperaturaMotore,21/01/2019,08:48:49,157.6
21/01/2019 08:49:49,A,TemperaturaMotore,21/01/2019,08:49:49,157.8
21/01/2019 08:50:49,A,TemperaturaMotore,21/01/2019,08:50:49,158.9
21/01/2019 08:51:49,A,TemperaturaMotore,21/01/2019,08:51:49,159.5
21/01/2019 08:52:49,A,TemperaturaMotore,21/01/2019,08:52:49,159.3
21/01/2019 08:53:49,A,TemperaturaMotore,21/01/2019,08:53:49,158.7
21/01/2019 08:54:49,A,TemperaturaMotore,21/01/2019,08:54:49,158.3
21/01/2019 08:55:49,A,TemperaturaMotore,21/01/2019,08:55:49,157.6
21/01/2019 08:56:48,A,TemperaturaMotore,21/01/2019,08:56:48,157.9
21/01/2019 08:57:48,A,TemperaturaMotore,21/01/2019,08:57:48,158.6
21/01/2019 08:58:48,A,TemperaturaMotore,21/01/2019,08:58:48,159.2
21/01/2019 08:59:48,A,TemperaturaMotore,21/01/2019,08:59:48,159.2
21/01/2019 09:00:48,A,TemperaturaMotore,21/01/2019,09:00:48,158.7
21/01/2019 09:01:48,A,TemperaturaMotore,21/01/2019,09:01:48,158.3
21/01/2019 09:02:48,A,TemperaturaMotore,21/01/2019,09:02:48,157.9
21/01/2019 09:03:48,A,TemperaturaMotore,21/01/2019,09:03:48,157.9
21/01/2019 09:04:48,A,TemperaturaMotore,21/01/2019,09:04:48,158.4
21/01/2019 09:05:48,A,TemperaturaMotore,21/01/2019,09:05:48,158.9
21/01/2019 09:06:48,A,TemperaturaMotore,21/01/2019,09:06:48,159
21/01/2019 09:07:48,A,TemperaturaMotore,21/01/2019,09:07:48,158.6
21/01/2019 09:08:48,A,TemperaturaMotore,21/01/2019,09:08:48,158.2
21/01/2019 09:09:48,A,TemperaturaMotore,21/01/2019,09:09:48,157.9
21/01/2019 09:10:48,A,TemperaturaMotore,21/01/2019,09:10:48,157.8
21/01/2019 09:11:48,A,TemperaturaMotore,21/01/2019,09:11:48,158.2
21/01/2019 09:12:48,A,TemperaturaMotore,21/01/2019,09:12:48,159
21/01/2019 09:13:48,A,TemperaturaMotore,21/01/2019,09:13:48,159.2
21/01/2019 09:14:48,A,TemperaturaMotore,21/01/2019,09:14:48,158.9
21/01/2019 09:15:48,A,TemperaturaMotore,21/01/2019,09:15:48,158.3
21/01/2019 09:16:48,A,TemperaturaMotore,21/01/2019,09:16:48,158.1
21/01/2019 09:17:48,A,TemperaturaMotore,21/01/2019,09:17:48,157.9
21/01/2019 09:18:48,A,TemperaturaMotore,21/01/2019,09:18:48,158.1
21/01/2019 09:19:48,A,TemperaturaMotore,21/01/2019,09:19:48,158.5
21/01/2019 09:20:48,A,TemperaturaMotore,21/01/2019,09:20:48,158.9
21/01/2019 09:21:48,A,TemperaturaMotore,21/01/2019,09:21:48,158.7
21/01/2019 09:22:48,A,TemperaturaMotore,21/01/2019,09:22:48,158.3
21/01/2019 09:23:48,A,TemperaturaMotore,21/01/2019,09:23:48,158.1
21/01/2019 09:24:48,A,TemperaturaMotore,21/01/2019,09:24:48,158
21/01/2019 09:25:48,A,TemperaturaMotore,21/01/2019,09:25:48,158.1
21/01/2019 09:26:48,A,TemperaturaMotore,21/01/2019,09:26:48,158.4
21/01/2019 09:27:48,A,TemperaturaMotore,21/01/2019,09:27:48,158.6
21/01/2019 09:28:48,A,TemperaturaMotore,21/01/2019,09:28:48,158.5
21/01/2019 09:29:48,A,TemperaturaMotore,21/01/2019,09:29:48,158.4
21/01/2019 09:30:48,A,TemperaturaMotore,21/01/2019,09:30:48,158.1
21/01/2019 09:31:48,A,TemperaturaMotore,21/01/2019,09:31:48,158
21/01/2019 09:32:48,A,TemperaturaMotore,21/01/2019,09:32:48,158.1
21/01/2019 09:33:48,A,TemperaturaMotore,21/01/2019,09:33:48,158.4
21/01/2019 09:34:48,A,TemperaturaMotore,21/01/2019,09:34:48,158.7
21/01/2019 09:35:48,A,TemperaturaMotore,21/01/2019,09:35:48,158.7
21/01/2019 09:36:48,A,TemperaturaMotore,21/01/2019,09:36:48,158.5
21/01/2019 09:37:48,A,TemperaturaMotore,21/01/2019,09:37:48,158.1
21/01/2019 09:38:48,A,TemperaturaMotore,21/01/2019,09:38:48,157.9
21/01/2019 09:39:48,A,TemperaturaMotore,21/01/2019,09:39:48,158.1
21/01/2019 09:40:48,A,TemperaturaMotore,21/01/2019,09:40:48,158.5
21/01/2019 09:41:48,A,TemperaturaMotore,21/01/2019,09:41:48,158.8
21/01/2019 09:42:48,A,TemperaturaMotore,21/01/2019,09:42:48,158.6
21/01/2019 09:43:49,A,TemperaturaMotore,21/01/2019,09:43:49,158.4
21/01/2019 09:44:49,A,TemperaturaMotore,21/01/2019,09:44:49,158
21/01/2019 09:45:49,A,TemperaturaMotore,21/01/2019,09:45:49,158
21/01/2019 09:46:49,A,TemperaturaMotore,21/01/2019,09:46:49,158.2
21/01/2019 09:47:49,A,TemperaturaMotore,21/01/2019,09:47:49,158.6
21/01/2019 09:48:49,A,TemperaturaMotore,21/01/2019,09:48:49,158.9
21/01/2019 09:49:49,A,TemperaturaMotore,21/01/2019,09:49:49,158.6
21/01/2019 09:50:49,A,TemperaturaMotore,21/01/2019,09:50:49,158.2
21/01/2019 09:51:48,A,TemperaturaMotore,21/01/2019,09:51:48,158.1
21/01/2019 09:52:49,A,TemperaturaMotore,21/01/2019,09:52:49,157.9
21/01/2019 09:53:48,A,TemperaturaMotore,21/01/2019,09:53:48,158.4
21/01/2019 09:54:48,A,TemperaturaMotore,21/01/2019,09:54:48,158.7
21/01/2019 09:55:48,A,TemperaturaMotore,21/01/2019,09:55:48,158.8
21/01/2019 09:56:48,A,TemperaturaMotore,21/01/2019,09:56:48,158.5
21/01/2019 09:57:48,A,TemperaturaMotore,21/01/2019,09:57:48,158.3
21/01/2019 09:58:48,A,TemperaturaMotore,21/01/2019,09:58:48,158
21/01/2019 09:59:48,A,TemperaturaMotore,21/01/2019,09:59:48,158.1
21/01/2019 10:00:48,A,TemperaturaMotore,21/01/2019,10:00:48,158.3
21/01/2019 10:01:48,A,TemperaturaMotore,21/01/2019,10:01:48,158.7
21/01/2019 10:02:48,A,TemperaturaMotore,21/01/2019,10:02:48,158.7
21/01/2019 10:03:48,A,TemperaturaMotore,21/01/2019,10:03:48,158.6
21/01/2019 10:04:48,A,TemperaturaMotore,21/01/2019,10:04:48,158.3
21/01/2019 10:05:48,A,TemperaturaMotore,21/01/2019,10:05:48,158.2
21/01/2019 10:06:48,A,TemperaturaMotore,21/01/2019,10:06:48,158
21/01/2019 10:07:48,A,TemperaturaMotore,21/01/2019,10:07:48,158.1
21/01/2019 10:08:48,A,TemperaturaMotore,21/01/2019,10:08:48,158.5
21/01/2019 10:09:48,A,TemperaturaMotore,21/01/2019,10:09:48,158.9
21/01/2019 10:10:48,A,TemperaturaMotore,21/01/2019,10:10:48,158.7
21/01/2019 10:11:48,A,TemperaturaMotore,21/01/2019,10:11:48,158.4
21/01/2019 10:12:48,A,TemperaturaMotore,21/01/2019,10:12:48,158.1
21/01/2019 10:13:48,A,TemperaturaMotore,21/01/2019,10:13:48,158
21/01/2019 10:14:48,A,TemperaturaMotore,21/01/2019,10:14:48,158.1
21/01/2019 10:15:48,A,TemperaturaMotore,21/01/2019,10:15:48,158.3
21/01/2019 10:16:48,A,TemperaturaMotore,21/01/2019,10:16:48,158.6
21/01/2019 10:17:49,A,TemperaturaMotore,21/01/2019,10:17:49,158.6
21/01/2019 10:18:49,A,TemperaturaMotore,21/01/2019,10:18:49,158.3
21/01/2019 10:19:49,A,TemperaturaMotore,21/01/2019,10:19:49,158.1
21/01/2019 10:20:49,A,TemperaturaMotore,21/01/2019,10:20:49,158
21/01/2019 10:21:49,A,TemperaturaMotore,21/01/2019,10:21:49,158.1
21/01/2019 10:22:49,A,TemperaturaMotore,21/01/2019,10:22:49,158.6
21/01/2019 10:23:49,A,TemperaturaMotore,21/01/2019,10:23:49,159
21/01/2019 10:24:49,A,TemperaturaMotore,21/01/2019,10:24:49,158.6
21/01/2019 10:25:49,A,TemperaturaMotore,21/01/2019,10:25:49,158.4
21/01/2019 10:26:49,A,TemperaturaMotore,21/01/2019,10:26:49,158.1
21/01/2019 10:27:49,A,TemperaturaMotore,21/01/2019,10:27:49,157.9
21/01/2019 10:28:49,A,TemperaturaMotore,21/01/2019,10:28:49,158.1
21/01/2019 10:29:49,A,TemperaturaMotore,21/01/2019,10:29:49,158.4
21/01/2019 10:30:49,A,TemperaturaMotore,21/01/2019,10:30:49,158.7
21/01/2019 10:31:49,A,TemperaturaMotore,21/01/2019,10:31:49,158.7
21/01/2019 10:32:49,A,TemperaturaMotore,21/01/2019,10:32:49,158.3
21/01/2019 10:33:49,A,TemperaturaMotore,21/01/2019,10:33:49,158.1
21/01/2019 10:34:49,A,TemperaturaMotore,21/01/2019,10:34:49,157.9
21/01/2019 10:35:49,A,TemperaturaMotore,21/01/2019,10:35:49,158.2
21/01/2019 10:36:49,A,TemperaturaMotore,21/01/2019,10:36:49,158.4
21/01/2019 10:37:49,A,TemperaturaMotore,21/01/2019,10:37:49,158.7
21/01/2019 10:38:49,A,TemperaturaMotore,21/01/2019,10:38:49,158.7
21/01/2019 10:39:49,A,TemperaturaMotore,21/01/2019,10:39:49,158.3
21/01/2019 10:40:49,A,TemperaturaMotore,21/01/2019,10:40:49,158.1
21/01/2019 10:41:49,A,TemperaturaMotore,21/01/2019,10:41:49,158.1
21/01/2019 10:42:49,A,TemperaturaMotore,21/01/2019,10:42:49,158.2
21/01/2019 10:43:49,A,TemperaturaMotore,21/01/2019,10:43:49,158.6
21/01/2019 10:44:48,A,TemperaturaMotore,21/01/2019,10:44:48,158.6
21/01/2019 10:45:48,A,TemperaturaMotore,21/01/2019,10:45:48,158.5
21/01/2019 10:46:48,A,TemperaturaMotore,21/01/2019,10:46:48,158.3
21/01/2019 10:47:48,A,TemperaturaMotore,21/01/2019,10:47:48,158.1
21/01/2019 10:48:48,A,TemperaturaMotore,21/01/2019,10:48:48,158.1
21/01/2019 10:49:48,A,TemperaturaMotore,21/01/2019,10:49:48,158.2
21/01/2019 10:50:48,A,TemperaturaMotore,21/01/2019,10:50:48,158.4
21/01/2019 10:51:48,A,TemperaturaMotore,21/01/2019,10:51:48,158.7
21/01/2019 10:52:48,A,TemperaturaMotore,21/01/2019,10:52:48,158.5
21/01/2019 10:53:48,A,TemperaturaMotore,21/01/2019,10:53:48,158.5
21/01/2019 10:54:48,A,TemperaturaMotore,21/01/2019,10:54:48,158.2
21/01/2019 10:55:48,A,TemperaturaMotore,21/01/2019,10:55:48,158.1
21/01/2019 10:56:48,A,TemperaturaMotore,21/01/2019,10:56:48,158
21/01/2019 10:57:48,A,TemperaturaMotore,21/01/2019,10:57:48,158.1
21/01/2019 10:58:48,A,TemperaturaMotore,21/01/2019,10:58:48,158.4
21/01/2019 10:59:48,A,TemperaturaMotore,21/01/2019,10:59:48,158.6
21/01/2019 11:00:48,A,TemperaturaMotore,21/01/2019,11:00:48,158.5
21/01/2019 11:01:48,A,TemperaturaMotore,21/01/2019,11:01:48,158.3
21/01/2019 11:02:48,A,TemperaturaMotore,21/01/2019,11:02:48,158.2
21/01/2019 11:03:48,A,TemperaturaMotore,21/01/2019,11:03:48,158.1
21/01/2019 11:04:48,A,TemperaturaMotore,21/01/2019,11:04:48,158
21/01/2019 11:05:48,A,TemperaturaMotore,21/01/2019,11:05:48,158.2
21/01/2019 11:06:48,A,TemperaturaMotore,21/01/2019,11:06:48,158.4
21/01/2019 11:07:48,A,TemperaturaMotore,21/01/2019,11:07:48,158.5
21/01/2019 11:08:48,A,TemperaturaMotore,21/01/2019,11:08:48,158.3
21/01/2019 11:09:48,A,TemperaturaMotore,21/01/2019,11:09:48,158.1
21/01/2019 11:10:48,A,TemperaturaMotore,21/01/2019,11:10:48,158
21/01/2019 11:11:48,A,TemperaturaMotore,21/01/2019,11:11:48,158
21/01/2019 11:12:48,A,TemperaturaMotore,21/01/2019,11:12:48,158.2
21/01/2019 11:13:48,A,TemperaturaMotore,21/01/2019,11:13:48,158.6
21/01/2019 11:14:48,A,TemperaturaMotore,21/01/2019,11:14:48,158.7
21/01/2019 11:15:48,A,TemperaturaMotore,21/01/2019,11:15:48,158.5
